id,name,age,gift,chosen,chosen_by
1,Amina,8,A doll or coloring set,0,0
2,John,7,A backpack for school,0,0
3,Sofia,6,A storybook or puzzle game,0,0
4,Michael,9,A soccer ball,0,0
5,Fatima,10,A craft kit or bracelet maker,0,0
6,David,7,A Lego set,0,0
7,Emily,8,A board game,0,0
8,Ahmed,9,A remote control car,0,0
9,Grace,6,A stuffed animal,0,0
10,Daniel,10,A science experiment kit,0,0
11,Lina,7,A set of watercolors,0,0
12,Sam,8,A basketball,0,0
13,Sara,6,A musical keyboard,0,0
14,Elijah,9,A chess set,0,0
15,Hannah,8,A skipping rope,0,0
16,Ali,10,A building blocks set,0,0
17,Isabella,7,A diary and pen set,0,0
18,Noah,8,A toy train,0,0
19,Emma,6,A jigsaw puzzle,0,0
20,Leo,9,A pair of roller skates,0,0
21,Olivia,7,A jewelry-making kit,0,0
22,Ethan,10,A kite,0,0
23,Sophia,8,A magic trick set,0,0
24,Musa,6,A drawing tablet,0,0
25,Charlotte,9,A baseball glove,0,0
26,Benjamin,10,A friendship bracelet kit,0,0
27,Chloe,8,A binocular set,0,0
28,William,6,A scooter,0,0
29,Amira,7,A backpack with stationery,0,0
30,James,9,A storybook series,0,0
